year,field,block,cultivar,fertilizer,yield
Y2017,F1,B1,C1,Control,122.76
Y2017,F1,B2,C1,Control,128.86
Y2017,F1,B3,C1,Control,120.28
Y2017,F1,B4,C1,Control,127.22
Y2017,F1,B1,C1,P1-D1,139.89
Y2017,F1,B2,C1,P1-D1,131.39
Y2017,F1,B3,C1,P1-D1,128.98
Y2017,F1,B4,C1,P1-D1,146.04
Y2017,F1,B1,C1,P1-D2,160.6
Y2017,F1,B2,C1,P1-D2,158.97
Y2017,F1,B3,C1,P1-D2,153.32
Y2017,F1,B4,C1,P1-D2,151.61
Y2017,F1,B1,C1,P2-D1,133.15
Y2017,F1,B1,C1,P2-D1,136.61
Y2017,F1,B2,C1,P2-D1,123.1
Y2017,F1,B2,C1,P2-D1,139.39
Y2017,F1,B3,C1,P2-D1,144.04
Y2017,F1,B3,C1,P2-D1,152.76
Y2017,F1,B4,C1,P2-D1,151.41
Y2017,F1,B4,C1,P2-D1,149.33
Y2017,F1,B1,C2,Control,150.6
Y2017,F1,B2,C2,Control,144.22
Y2017,F1,B3,C2,Control,146.78
Y2017,F1,B4,C2,Control,136.78
Y2017,F1,B1,C2,P1-D1,150.95
Y2017,F1,B2,C2,P1-D1,154.62
Y2017,F1,B3,C2,P1-D1,157.75
Y2017,F1,B4,C2,P1-D1,164.2
Y2017,F1,B1,C2,P1-D2,171.14
Y2017,F1,B2,C2,P1-D2,183.65
Y2017,F1,B3,C2,P1-D2,174.86
Y2017,F1,B4,C2,P1-D2,171.71
Y2017,F1,B1,C2,P2-D1,163.08
Y2017,F1,B1,C2,P2-D1,152.87
Y2017,F1,B2,C2,P2-D1,163.53
Y2017,F1,B2,C2,P2-D1,162.49
Y2017,F1,B3,C2,P2-D1,20.61
Y2017,F1,B3,C2,P2-D1,13.05
Y2017,F1,B4,C2,P2-D1,16.54
Y2017,F1,B4,C2,P2-D1,12.17
Y2017,F2,B1,C1,Control,146.3
Y2017,F2,B2,C1,Control,143.04
Y2017,F2,B3,C1,Control,141.86
Y2017,F2,B4,C1,Control,149.26
Y2017,F2,B1,C1,P1-D1,165.01
Y2017,F2,B2,C1,P1-D1,154.69
Y2017,F2,B3,C1,P1-D1,160.67
Y2017,F2,B4,C1,P1-D1,162.37
Y2017,F2,B1,C1,P1-D2,162.63
Y2017,F2,B2,C1,P1-D2,173.14
Y2017,F2,B3,C1,P1-D2,172.9
Y2017,F2,B4,C1,P1-D2,177.63
Y2017,F2,B1,C1,P2-D1,138.77
Y2017,F2,B1,C1,P2-D1,149.44
Y2017,F2,B2,C1,P2-D1,152.95
Y2017,F2,B2,C1,P2-D1,150.45
Y2017,F2,B3,C1,P2-D1,171.47
Y2017,F2,B3,C1,P2-D1,162.25
Y2017,F2,B4,C1,P2-D1,166.35
Y2017,F2,B4,C1,P2-D1,159.33
Y2017,F2,B1,C2,Control,154.1
Y2017,F2,B2,C2,Control,150.54
Y2017,F2,B3,C2,Control,156.54
Y2017,F2,B4,C2,Control,150.87
Y2017,F2,B1,C2,P1-D1,172.54
Y2017,F2,B2,C2,P1-D1,184.89
Y2017,F2,B3,C2,P1-D1,170.7
Y2017,F2,B4,C2,P1-D1,159.53
Y2017,F2,B1,C2,P1-D2,181.96
Y2017,F2,B2,C2,P1-D2,170.59
Y2017,F2,B3,C2,P1-D2,183.49
Y2017,F2,B4,C2,P1-D2,180.46
Y2017,F2,B1,C2,P2-D1,165
Y2017,F2,B1,C2,P2-D1,167.09
Y2017,F2,B2,C2,P2-D1,164.41
Y2017,F2,B2,C2,P2-D1,157.44
Y2017,F2,B3,C2,P2-D1,170.17
Y2017,F2,B3,C2,P2-D1,167.63
Y2017,F2,B4,C2,P2-D1,172.2
Y2017,F2,B4,C2,P2-D1,177.52